"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè pri"
"registriranih fiziènih osebah po: SKD DEJAVNOST, MESEC, PLAÈE , MERITVE"

" ";" ";"Bruto plaèa";" ";"Neto plaèa";" "
" ";" ";"Plaèa za mesec [EUR]";"(realni indeks) tekoèi mesec / prejšnji mesec";"Plaèa za mesec [EUR]";"(realni indeks) tekoèi mesec / prejšnji mesec"
"SKD Dejavnost - SKUPAJ"
" ";"2008M01";751.14;-;527.80;-
" ";"2009M01";785.40;97.8;553.18;98.4
" ";"2010M01";799.63;98.7;562.90;99.1
" ";"2011M01";874.42;99.8;617.64;100.4
" ";"2012M01";899.13;100.4;633.21;101.0
" ";"2013M01";911.17;102.7;642.54;103.1
" ";"2014M01";918.24;101.0;646.48;101.0
" ";"2015M01";916.50;101.8;638.17;101.0
" ";"2016M01";903.55;100.1;635.54;100.4
" ";"2017M01";925.64;101.7;651.44;101.7
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO"
" ";"2008M01";730.71;-;520.26;-
" ";"2009M01";742.60;97.8;531.94;98.1
" ";"2010M01";795.83;98.0;563.28;97.9
" ";"2011M01";861.42;100.9;620.28;101.1
" ";"2012M01";864.16;100.0;619.84;100.4
" ";"2013M01";866.74;100.1;622.28;101.3
" ";"2014M01";865.02;95.8;616.40;96.6
" ";"2015M01";885.44;98.1;625.84;99.0
" ";"2016M01";872.87;98.5;622.32;99.2
" ";"2017M01";874.50;99.0;626.19;99.5
"B RUDARSTVO"
" ";"2008M01";1166.46;-;813.96;-
" ";"2009M01";997.50;91.2;695.23;91.9
" ";"2010M01";1016.63;93.3;711.65;94.2
" ";"2011M01";1114.31;99.1;776.10;98.7
" ";"2012M01";1154.50;100.6;803.01;101.7
" ";"2013M01";1210.97;100.7;844.15;101.1
" ";"2014M01";1259.78;97.2;867.19;97.2
" ";"2015M01";1153.74;90.5;790.97;91.5
" ";"2016M01";1194.19;93.3;830.82;95.2
" ";"2017M01";1226.60;96.3;849.42;100.3
"C PREDELOVALNE DEJAVNOSTI"
" ";"2008M01";860.39;-;596.02;-
" ";"2009M01";884.36;96.2;619.03;97.2
" ";"2010M01";905.26;98.0;633.15;98.3
" ";"2011M01";966.98;99.1;677.90;99.8
" ";"2012M01";1010.77;99.9;704.75;100.6
" ";"2013M01";1031.28;103.3;720.14;103.8
" ";"2014M01";1037.13;101.4;723.78;101.5
" ";"2015M01";1038.66;101.2;717.69;100.8
" ";"2016M01";1020.49;98.3;713.68;99.3
" ";"2017M01";1045.44;101.5;729.00;101.6
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO"
" ";"2008M01";678.50;-;481.45;-
" ";"2009M01";675.00;79.4;482.56;81.7
" ";"2010M01";802.31;98.8;570.50;99.2
" ";"2011M01";929.97;106.4;657.41;106.1
" ";"2012M01";926.37;102.8;653.57;102.5
" ";"2013M01";817.67;101.3;585.33;101.6
" ";"2014M01";807.66;104.5;573.90;104.2
" ";"2015M01";898.94;99.5;627.85;98.7
" ";"2016M01";844.05;99.4;598.73;100.2
" ";"2017M01";949.52;103.8;669.90;104.1
"F GRADBENIŠTVO"
" ";"2008M01";700.08;-;495.58;-
" ";"2009M01";718.61;98.1;509.61;98.6
" ";"2010M01";730.13;98.2;519.24;98.8
" ";"2011M01";812.87;100.2;580.52;100.5
" ";"2012M01";842.23;101.7;600.45;102.1
" ";"2013M01";856.60;104.2;609.80;104.6
" ";"2014M01";866.91;102.5;616.01;102.0
" ";"2015M01";883.53;104.3;619.08;102.5
" ";"2016M01";866.67;100.6;614.74;100.7
" ";"2017M01";880.96;101.7;626.29;101.5
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL"
" ";"2008M01";767.97;-;541.07;-
" ";"2009M01";839.13;99.3;589.99;99.7
" ";"2010M01";851.39;100.2;597.61;100.4
" ";"2011M01";909.00;100.5;640.14;101.0
" ";"2012M01";941.98;101.5;661.32;102.2
" ";"2013M01";950.37;102.9;667.83;103.4
" ";"2014M01";953.88;100.8;669.79;100.9
" ";"2015M01";952.15;102.0;662.12;101.2
" ";"2016M01";931.81;100.9;653.80;101.0
" ";"2017M01";970.98;103.1;680.62;103.1
"H PROMET IN SKLADIŠÈENJE"
" ";"2008M01";715.23;-;505.40;-
" ";"2009M01";744.00;98.3;527.56;98.7
" ";"2010M01";752.83;99.2;531.08;99.2
" ";"2011M01";837.02;100.1;593.55;100.4
" ";"2012M01";847.61;100.5;601.48;100.8
" ";"2013M01";859.64;101.6;611.82;101.8
" ";"2014M01";885.45;100.5;625.05;100.4
" ";"2015M01";908.21;101.7;631.13;100.8
" ";"2016M01";905.70;100.5;635.85;100.8
" ";"2017M01";939.30;101.5;657.20;101.5
"I GOSTINSTVO"
" ";"2008M01";616.84;-;443.66;-
" ";"2009M01";669.83;98.3;478.29;98.6
" ";"2010M01";684.91;99.1;490.71;99.3
" ";"2011M01";759.48;100.6;546.00;101.3
" ";"2012M01";763.77;100.0;546.86;100.5
" ";"2013M01";765.76;101.8;550.39;102.0
" ";"2014M01";769.47;99.3;553.09;99.7
" ";"2015M01";758.12;102.1;537.25;101.1
" ";"2016M01";755.55;101.4;542.30;101.5
" ";"2017M01";788.24;100.7;566.09;100.9
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI"
" ";"2008M01";836.07;-;575.66;-
" ";"2009M01";828.22;93.7;581.81;96.1
" ";"2010M01";786.26;92.1;544.61;94.6
" ";"2011M01";890.25;95.3;619.65;97.7
" ";"2012M01";882.88;94.5;618.82;98.8
" ";"2013M01";865.76;96.5;607.61;98.0
" ";"2014M01";845.43;95.7;595.05;97.9
" ";"2015M01";854.94;101.2;595.67;101.2
" ";"2016M01";817.29;98.0;574.25;99.3
" ";"2017M01";848.87;100.9;598.76;100.9
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI"
" ";"2008M01";714.01;-;498.55;-
" ";"2009M01";739.51;99.6;522.21;99.8
" ";"2010M01";733.26;95.7;517.96;96.4
" ";"2011M01";791.03;99.2;557.83;99.2
" ";"2012M01";836.64;104.1;596.85;104.7
" ";"2013M01";846.99;104.4;605.85;104.9
" ";"2014M01";831.08;99.5;591.15;98.7
" ";"2015M01";760.38;100.1;544.06;99.7
" ";"2016M01";783.93;104.0;561.96;103.7
" ";"2017M01";812.79;100.5;582.08;100.7
"L POSLOVANJE Z NEPREMIÈNINAMI"
" ";"2008M01";744.70;-;516.30;-
" ";"2009M01";806.81;98.1;559.76;98.0
" ";"2010M01";842.40;96.9;587.34;98.6
" ";"2011M01";960.87;98.8;670.23;100.2
" ";"2012M01";919.18;95.1;645.45;96.8
" ";"2013M01";804.23;113.3;561.46;111.2
" ";"2014M01";907.63;106.0;637.63;105.9
" ";"2015M01";913.94;113.4;642.56;114.3
" ";"2016M01";832.99;105.0;589.50;104.7
" ";"2017M01";915.45;107.3;648.43;107.7
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI"
" ";"2008M01";956.96;-;649.03;-
" ";"2009M01";1006.75;97.9;681.45;98.6
" ";"2010M01";1028.98;97.8;694.98;98.5
" ";"2011M01";1082.43;97.5;734.44;98.9
" ";"2012M01";1110.72;98.0;751.80;98.5
" ";"2013M01";1106.94;100.3;754.80;100.7
" ";"2014M01";1106.94;100.4;754.12;100.6
" ";"2015M01";1089.74;99.3;736.82;99.3
" ";"2016M01";1076.65;99.3;732.73;99.6
" ";"2017M01";1065.18;100.5;732.79;100.8
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI"
" ";"2008M01";627.99;-;449.02;-
" ";"2009M01";662.79;99.1;474.41;99.3
" ";"2010M01";646.85;98.5;463.56;98.7
" ";"2011M01";720.31;99.9;520.55;100.1
" ";"2012M01";719.38;97.9;515.97;98.9
" ";"2013M01";738.33;102.2;530.87;103.2
" ";"2014M01";713.03;99.2;517.27;99.5
" ";"2015M01";664.36;99.1;479.72;98.4
" ";"2016M01";676.60;104.6;487.63;103.7
" ";"2017M01";679.88;101.8;491.06;101.4
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI"
" ";"2008M01";-;-;-;-
" ";"2009M01";-;-;-;-
" ";"2010M01";-;-;-;-
" ";"2011M01";-;-;-;-
" ";"2012M01";-;-;-;-
" ";"2013M01";-;-;-;-
" ";"2014M01";-;-;-;-
" ";"2015M01";-;-;-;-
" ";"2016M01";-;-;-;-
" ";"2017M01";-;-;-;-
"P IZOBRAŽEVANJE"
" ";"2008M01";639.01;-;458.44;-
" ";"2009M01";717.15;104.3;509.73;104.0
" ";"2010M01";717.91;100.2;510.06;99.7
" ";"2011M01";781.87;99.8;555.01;101.4
" ";"2012M01";811.35;103.6;572.67;102.9
" ";"2013M01";769.21;103.8;545.83;106.0
" ";"2014M01";737.06;101.1;527.68;101.0
" ";"2015M01";726.65;102.3;517.55;101.8
" ";"2016M01";698.16;98.0;496.67;97.7
" ";"2017M01";711.18;101.2;510.64;101.2
"Q ZDRAVSTVO IN SOCIALNO VARSTVO"
" ";"2008M01";1062.28;-;730.39;-
" ";"2009M01";1165.50;99.0;791.58;99.4
" ";"2010M01";1207.17;99.1;815.76;99.5
" ";"2011M01";1253.48;98.4;848.29;99.3
" ";"2012M01";1262.55;99.9;855.26;101.3
" ";"2013M01";1249.46;102.3;848.88;102.8
" ";"2014M01";1254.54;100.6;849.30;100.9
