"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2000S1","Belgium","Euro","1,095.89",""
"2000S1","Bulgaria","Euro","34.26",""
"2000S1","Czech Republic","Euro","110.79",""
"2000S1","Denmark","Euro",":","z"
"2000S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2000S1","Estonia","Euro","89.48",""
"2000S1","Ireland","Euro",":","z"
"2000S1","Greece","Euro","542.69",""
"2000S1","Spain","Euro","495.60",""
"2000S1","France","Euro","1,049.49",""
"2000S1","Croatia","Euro",":","z"
"2000S1","Italy","Euro",":","z"
"2000S1","Cyprus","Euro",":","z"
"2000S1","Latvia","Euro","85.02",""
"2000S1","Lithuania","Euro","107.05",""
"2000S1","Luxembourg","Euro","1,191.13",""
"2000S1","Hungary","Euro","100.12",""
"2000S1","Malta","Euro","505.06",""
"2000S1","Netherlands","Euro","1,092.00",""
"2000S1","Austria","Euro",":","z"
"2000S1","Poland","Euro","161.11",""
"2000S1","Portugal","Euro","371.27",""
"2000S1","Romania","Euro","24.53",""
"2000S1","Slovenia","Euro","373.35",""
"2000S1","Slovakia","Euro","94.34",""
"2000S1","Finland","Euro",":","z"
"2000S1","Sweden","Euro",":","z"
"2000S1","United Kingdom","Euro","952.23",""
"2000S1","Iceland","Euro",":","z"
"2000S1","Norway","Euro",":","z"
"2000S1","Switzerland","Euro",":","z"
"2000S1","Montenegro","Euro",":",""
"2000S1","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2000S1","Albania","Euro",":",""
"2000S1","Serbia","Euro",":",""
"2000S1","Turkey","Euro","201.62",""
"2000S1","United States","Euro","888.58",""
"2001S1","Belgium","Euro","1,117.88",""
"2001S1","Bulgaria","Euro","40.42",""
"2001S1","Czech Republic","Euro","142.67",""
"2001S1","Denmark","Euro",":","z"
"2001S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2001S1","Estonia","Euro","102.26",""
"2001S1","Ireland","Euro","944.71",""
"2001S1","Greece","Euro","543.55",""
"2001S1","Spain","Euro","505.69",""
"2001S1","France","Euro","1,083.29",""
"2001S1","Croatia","Euro",":","z"
"2001S1","Italy","Euro",":","z"
"2001S1","Cyprus","Euro",":","z"
"2001S1","Latvia","Euro","86.75",""
"2001S1","Lithuania","Euro","115.50",""
"2001S1","Luxembourg","Euro","1,258.75",""
"2001S1","Hungary","Euro","150.94",""
"2001S1","Malta","Euro","530.43",""
"2001S1","Netherlands","Euro","1,154.50",""
"2001S1","Austria","Euro",":","z"
"2001S1","Poland","Euro","197.41",""
"2001S1","Portugal","Euro","389.89",""
"2001S1","Romania","Euro","41.42",""
"2001S1","Slovenia","Euro","395.33",""
"2001S1","Slovakia","Euro","100.15",""
"2001S1","Finland","Euro",":","z"
"2001S1","Sweden","Euro",":","z"
"2001S1","United Kingdom","Euro","977.41",""
"2001S1","Iceland","Euro",":","z"
"2001S1","Norway","Euro",":","z"
"2001S1","Switzerland","Euro",":","z"
"2001S1","Montenegro","Euro",":",""
"2001S1","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2001S1","Albania","Euro",":",""
"2001S1","Serbia","Euro",":",""
"2001S1","Turkey","Euro","224.17",""
"2001S1","United States","Euro","959.34",""
"2002S1","Belgium","Euro","1,140.24",""
"2002S1","Bulgaria","Euro","51.38",""
"2002S1","Czech Republic","Euro","178.34",""
"2002S1","Denmark","Euro",":","z"
"2002S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2002S1","Estonia","Euro","118.24",""
"2002S1","Ireland","Euro","1,008.93",""
"2002S1","Greece","Euro","571.71",""
"2002S1","Spain","Euro","515.90",""
"2002S1","France","Euro","1,127.23",""
"2002S1","Croatia","Euro",":","z"
"2002S1","Italy","Euro",":","z"
"2002S1","Cyprus","Euro",":","z"
"2002S1","Latvia","Euro","107.86",""
"2002S1","Lithuania","Euro","122.06",""
"2002S1","Luxembourg","Euro","1,290.21",""
"2002S1","Hungary","Euro","203.93",""
