"Povpreène meseène bruto plaèe po: STATISTIÈNA REGIJA, STAROST, LETO ,"
"SPOL"

" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016 (zaèasni podatki)";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Starost - SKUPAJ";1427;1474;1368;1477;1496;1453;1538;1564;1506;1582;1617;1542;1601;1639;1555;1598;1639;1551;1637;1678;1589;1652;1698;1598;1685;1732;1630
" ";"15-64 let";1423;1469;1367;1473;1491;1451;1535;1559;1505;1579;1611;1541;1597;1635;1554;1594;1634;1549;1634;1673;1587;1648;1692;1596;1681;1726;1628
" ";"15-24 let";901;913;863;910;913;901;972;979;951;1022;1034;991;1037;1051;997;1047;1064;994;1077;1097;1006;1096;1119;1009;1111;1137;1026
" ";"25-34 let";1255;1291;1205;1278;1295;1253;1328;1349;1299;1356;1381;1320;1366;1393;1326;1356;1384;1315;1379;1411;1328;1385;1421;1326;1403;1442;1339
" ";"35-44 let";1455;1532;1372;1511;1559;1460;1571;1625;1511;1614;1675;1549;1638;1705;1567;1633;1697;1565;1669;1732;1599;1683;1753;1604;1712;1780;1633
" ";"45-54 let";1489;1553;1424;1552;1584;1520;1611;1648;1573;1650;1704;1600;1666;1729;1607;1658;1729;1592;1700;1773;1631;1713;1792;1638;1756;1842;1675
" ";"55-64 let";1796;1764;1874;1860;1804;1987;1944;1900;2037;1959;1932;2007;1959;1939;1995;1896;1896;1896;1893;1899;1884;1890;1911;1863;1902;1927;1873
" ";"65 let ali veè";3880;4066;3131;4085;4233;3431;4026;4195;3213;3917;4051;3327;3899;3984;3588;3747;3821;3496;3537;3608;3288;3574;3634;3373;3460;3515;3285
"Pomurska"
" ";"Starost - SKUPAJ";1185;1229;1135;1310;1290;1338;1330;1330;1331;1385;1385;1385;1391;1405;1374;1380;1401;1357;1446;1461;1427;1447;1465;1425;1473;1509;1430
" ";"15-64 let";1184;1227;1135;1309;1288;1337;1330;1328;1331;1383;1382;1385;1390;1404;1373;1379;1399;1357;1444;1457;1427;1445;z;z;1470;z;z
" ";"15-24 let";837;855;783;871;881;845;900;907;880;954;965;926;955;969;916;965;984;898;984;1003;904;1008;z;z;1031;z;z
" ";"25-34 let";1085;1110;1053;1127;1126;1130;1159;1165;1152;1199;1208;1185;1217;1227;1204;1202;1217;1179;1222;1247;1184;1233;1260;1191;1256;1290;1199
" ";"35-44 let";1171;1255;1095;1328;1322;1336;1324;1345;1303;1376;1393;1359;1389;1424;1354;1382;1432;1334;1447;1492;1397;1453;1500;1401;1481;1554;1403
" ";"45-54 let";1249;1305;1196;1419;1385;1458;1425;1421;1429;1468;1466;1470;1457;1486;1429;1431;1457;1407;1516;1530;1502;1505;1530;1480;1513;1572;1456
" ";"55-64 let";1446;1395;1610;1610;1527;1866;1692;1593;1960;1724;1643;1916;1707;1654;1821;1658;1632;1707;1707;1674;1762;1684;1660;1720;1709;1686;1738
" ";"65 let ali veè";3830;3840;z;3582;3775;z;3042;3264;z;3833;4295;z;2949;z;z;3922;z;z;3700;4106;z;4095;z;z;3348;z;z
"Podravska"
" ";"Starost - SKUPAJ";1324;1367;1269;1369;1384;1351;1428;1446;1407;1471;1505;1434;1489;1523;1451;1487;1527;1446;1518;1560;1472;1529;1568;1485;1548;1593;1499
" ";"15-64 let";1320;1362;1268;1365;1377;1349;1424;1439;1406;1467;1499;1432;1485;1519;1450;1484;1522;1444;1514;1554;1471;1524;1562;1483;1543;1585;1497
" ";"15-24 let";865;889;789;876;886;843;934;944;906;967;979;937;986;999;949;1001;1020;945;1030;1050;961;1060;1084;970;1071;1104;954
" ";"25-34 let";1158;1203;1096;1182;1205;1150;1233;1254;1205;1261;1285;1229;1273;1293;1245;1260;1286;1225;1280;1314;1230;1283;1319;1227;1298;1335;1241
" ";"35-44 let";1329;1396;1259;1373;1413;1331;1430;1476;1384;1474;1533;1418;1497;1564;1433;1499;1563;1438;1523;1589;1457;1525;1589;1459;1547;1609;1483
" ";"45-54 let";1386;1424;1345;1439;1446;1432;1493;1498;1489;1528;1571;1491;1547;1592;1508;1541;1595;1495;1575;1635;1521;1580;1644;1523;1603;1686;1528
" ";"55-64 let";1675;1662;1704;1722;1681;1811;1792;1758;1864;1832;1820;1853;1811;1792;1843;1760;1777;1735;1747;1763;1727;1764;1772;1755;1741;1757;1722
" ";"65 let ali veè";3901;4144;3063;4343;4509;3648;4279;4434;3551;4094;4156;3874;4012;4037;3928;3699;3708;3673;3799;3909;3479;3752;3889;3364;3696;3827;3314
"Koroška"
" ";"Starost - SKUPAJ";1272;1314;1219;1305;1313;1295;1391;1382;1404;1451;1455;1446;1465;1470;1459;1468;1481;1450;1503;1519;1482;1539;1570;1499;1571;1604;1530
" ";"15-64 let";1271;1313;1219;1303;1310;1294;1390;1379;1404;1448;1451;1445;1462;1466;1458;1464;1477;1449;1499;1514;1480;z;1561;z;1567;z;z
" ";"15-24 let";905;936;787;888;898;849;961;976;903;1033;1053;954;1042;1058;974;1039;1073;891;1072;1110;885;z;1153;z;1146;z;z
" ";"25-34 let";1086;1140;1012;1092;1124;1045;1163;1175;1143;1222;1247;1182;1242;1264;1204;1245;1278;1185;1286;1318;1220;1318;1360;1232;1358;1403;1266
" ";"35-44 let";1263;1326;1197;1294;1329;1258;1388;1396;1378;1453;1479;1423;1458;1494;1415;1461;1501;1417;1492;1541;1434;1528;1592;1453;1549;1600;1490
" ";"45-54 let";1384;1416;1348;1417;1410;1424;1497;1488;1506;1530;1533;1526;1548;1556;1540;1531;1549;1513;1560;1579;1541;1584;1631;1535;1623;1684;1560
" ";"55-64 let";1664;1664;1665;1720;1674;1808;1769;1697;1913;1815;1751;1935;1829;1757;1967;1813;1774;1876;1794;1775;1821;1810;1795;1828;1833;1845;1818
" ";"65 let ali veè";3056;z;z;3950;4294;z;z;z;z;4536;z;z;4079;4342;z;4042;4432;z;4411;4851;z;z;5772;z;4467;z;z
"Savinjska"
" ";"Starost - SKUPAJ";1286;1330;1229;1318;1336;1294;1399;1435;1353;1440;1483;1386;1463;1513;1404;1470;1521;1407;1507;1561;1441;1517;1572;1447;1540;1590;1479
" ";"15-64 let";1285;1328;1228;1316;1334;1293;1397;1432;1353;1438;1480;1386;1461;1510;1403;1468;1519;1407;1506;1558;1440;1515;1570;1447;1538;1587;1479
" ";"15-24 let";861;877;807;866;869;853;951;961;917;1019;1032;978;1053;1076;977;1070;1099;962;1105;1133;966;1100;1130;937;1093;1124;967
" ";"25-34 let";1120;1154;1068;1140;1155;1114;1210;1243;1160;1249;1283;1196;1266;1300;1211;1263;1298;1205;1287;1327;1215;1290;1330;1214;1305;1346;1226
" ";"35-44 let";1289;1351;1217;1322;1360;1279;1399;1456;1337;1439;1504;1368;1462;1534;1385;1470;1537;1395;1508;1579;1426;1514;1585;1430;1536;1596;1466
" ";"45-54 let";1384;1453;1309;1425;1467;1379;1496;1552;1437;1520;1589;1453;1540;1623;1464;1539;1629;1453;1575;1665;1487;1578;1676;1482;1602;1694;1511
" ";"55-64 let";1645;1626;1699;1656;1610;1775;1785;1749;1868;1800;1783;1833;1821;1814;1833;1781;1800;1749;1769;1806;1716;1781;1834;1712;1784;1835;1724
" ";"65 let ali veè";3727;3757;3607;3636;3722;z;3794;3839;z;3877;3866;z;3693;3658;z;3749;3773;z;3341;3359;3252;3265;3355;2818;3123;3125;3110
"Zasavska"
" ";"Starost - SKUPAJ";1329;1409;1235;1402;1450;1347;1467;1520;1408;1519;1576;1457;1505;1558;1448;1506;1556;1455;1505;1544;1465;1469;1489;1450;1504;1521;1487
" ";"15-64 let";1327;1405;1235;1399;1444;1347;1465;1518;1406;1517;1574;1455;1502;1554;1448;1505;1554;1455;1503;1541;1465;z;z;z;1500;z;z
" ";"15-24 let";874;894;810;877;886;847;936;945;909;1033;1046;996;997;1004;977;1058;1042;1103;997;1001;983;z;z;z;1017;z;z
" ";"25-34 let";1158;1205;1096;1225;1233;1214;1291;1284;1301;1323;1319;1329;1292;1300;1280;1301;1317;1276;1286;1308;1253;1251;1275;1214;1288;1315;1247
" ";"35-44 let";1318;1442;1184;1372;1477;1264;1449;1542;1356;1522;1619;1423;1507;1590;1425;1506;1578;1440;1506;1553;1465;1448;1470;1428;1490;1502;1478
" ";"45-54 let";1407;1518;1299;1488;1570;1413;1542;1648;1446;1574;1679;1481;1547;1645;1465;1524;1607;1454;1516;1594;1451;1498;1552;1455;1518;1589;1462
" ";"55-64 let";1603;1536;1783;1694;1606;1867;1792;1764;1837;1801;1794;1813;1844;1849;1837;1834;1876;1784;1798;1820;1773;1736;1735;1737;1761;1743;1777
" ";"65 let ali veè";z;z;-;z;z;-;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;4140;z;z
"Spodnjeposavska"
" ";"Starost - SKUPAJ";1283;1343;1207;1329;1365;1282;1387;1417;1350;1455;1508;1392;1481;1551;1401;1474;1541;1400;1517;1591;1430;1519;1597;1430;1562;1642;1469
" ";"15-64 let";1281;1340;1207;1327;1363;1282;1385;1414;1350;1453;1504;1392;1480;1549;1401;1471;1536;1399;1513;1585;1429;1515;z;z;1559;z;z
" ";"15-24 let";889;907;817;905;917;849;953;963;899;1032;1052;960;1081;1109;964;1041;1057;965;1051;1056;1024;1101;z;z;1160;z;z
" ";"25-34 let";1117;1167;1041;1152;1176;1115;1214;1233;1181;1272;1310;1212;1294;1350;1203;1306;1371;1200;1341;1416;1209;1369;1448;1225;1400;1483;1254
" ";"35-44 let";1270;1336;1203;1315;1361;1265;1365;1419;1307;1433;1497;1364;1465;1554;1376;1450;1524;1380;1506;1593;1415;1516;1600;1428;1563;1647;1468
" ";"45-54 let";1390;1507;1274;1441;1539;1348;1493;1556;1433;1536;1625;1456;1540;1633;1460;1502;1593;1426;1532;1628;1446;1515;1612;1428;1561;1656;1473
" ";"55-64 let";1666;1639;1743;1732;1688;1847;1876;1866;1898;1935;1969;1873;1958;2032;1834;1887;1945;1801;1888;1974;1782;1822;1905;1725;1836;1949;1715
" ";"65 let ali veè";3629;3796;z;3732;z;z;3969;4212;z;3389;3756;z;2970;z;z;3942;4054;z;3842;3990;z;4264;z;z;3621;z;z
"Jugovzhodna Slovenija"
" ";"Starost - SKUPAJ";1353;1368;1333;1382;1371;1397;1480;1471;1492;1539;1522;1563;1565;1552;1580;1561;1554;1570;1620;1615;1626;1636;1637;1633;1659;1661;1656
" ";"15-64 let";1351;1365;1333;1380;1368;1397;1479;1470;1492;1537;1519;1562;1563;1550;1580;1560;1551;1570;1619;1613;1626;1634;z;z;1658;z;z
" ";"15-24 let";928;935;902;943;941;951;1005;1008;994;1058;1054;1073;1074;1077;1066;1107;1101;1130;1172;1147;1268;1176;z;z;1189;z;z
" ";"25-34 let";1193;1213;1162;1206;1207;1205;1293;1301;1280;1344;1345;1342;1360;1368;1347;1371;1377;1362;1428;1439;1408;1453;1473;1418;1464;1478;1441
" ";"35-44 let";1370;1401;1336;1393;1403;1382;1490;1495;1484;1549;1548;1551;1573;1572;1575;1568;1574;1562;1624;1640;1605;1642;1672;1607;1679;1711;1640
" ";"45-54 let";1435;1472;1394;1475;1477;1473;1578;1584;1571;1636;1630;1642;1661;1678;1644;1636;1665;1608;1692;1719;1666;1693;1711;1675;1708;1734;1683
" ";"55-64 let";1722;1630;2027;1796;1660;2203;1914;1801;2214;1914;1808;2150;1942;1816;2198;1866;1757;2075;1890;1791;2051;1898;1840;1980;1905;1853;1975
" ";"65 let ali veè";4516;4954;z;4393;4645;z;3463;3581;z;4088;4295;z;3914;4034;z;4346;4719;z;3853;4245;z;3814;z;z;3626;z;z
"Osrednjeslovenska"
" ";"Starost - SKUPAJ";1637;1688;1575;1693;1725;1655;1743;1780;1699;1784;1827;1734;1795;1840;1743;1781;1823;1732;1816;1855;1772;1840;1885;1787;1879;1926;1826
" ";"15-64 let";1632;1681;1573;1688;1717;1653;1738;1772;1697;1778;1818;1733;1790;1833;1741;1776;1816;1730;1811;1848;1770;1834;1876;1784;1872;1916;1822
" ";"15-24 let";943;942;946;955;952;963;1008;1011;1001;1048;1056;1028;1055;1064;1036;1059;1072;1026;1079;1105;1015;1107;1134;1035;1124;1150;1064
" ";"25-34 let";1430;1466;1384;1448;1474;1415;1479;1504;1446;1491;1522;1451;1490;1523;1446;1466;1494;1430;1483;1515;1440;1488;1526;1436;1501;1545;1440
" ";"35-44 let";1711;1794;1622;1778;1838;1714;1831;1894;1762;1866;1933;1795;1886;1954;1813;1859;1917;1796;1886;1938;1827;1909;1974;1836;1933;2003;1855
" ";"45-54 let";1682;1756;1609;1766;1818;1717;1815;1870;1761;1863;1929;1803;1873;1943;1806;1861;1937;1789;1905;1977;1835;1934;2009;1859;1998;2075;1924
" ";"55-64 let";2026;1996;2092;2100;2053;2195;2179;2154;2225;2198;2195;2204;2179;2179;2179;2094;2103;2082;2080;2085;2074;2071;2090;2049;2101;2126;2074
" ";"65 let ali veè";3974;4157;3182;4161;4309;3496;4111;4317;3187;3956;4161;3071;3972;4086;3555;3836;3893;3647;3596;3664;3350;3602;3650;3440;3536;3583;3398
"Gorenjska"
" ";"Starost - SKUPAJ";1376;1442;1294;1396;1428;1355;1466;1509;1413;1505;1558;1440;1543;1601;1472;1560;1639;1465;1603;1686;1500;1627;1719;1511;1663;1752;1549
" ";"15-64 let";1374;1438;1293;1394;1426;1355;1465;1507;1413;1504;1556;1439;1541;1599;1470;1559;1637;1465;1602;1684;1499;1625;1717;1510;1661;1751;1548
" ";"15-24 let";920;947;843;917;931;871;975;993;928;1028;1052;961;1037;1063;955;1059;1085;966;1116;1146;984;1128;1155;1000;1157;1185;1035
" ";"25-34 let";1221;1284;1127;1228;1270;1163;1291;1338;1217;1323;1377;1240;1350;1403;1263;1360;1424;1254;1375;1439;1263;1374;1435;1261;1392;1454;1276
" ";"35-44 let";1409;1523;1289;1433;1508;1354;1500;1583;1409;1537;1624;1443;1586;1684;1477;1606;1721;1477;1645;1762;1507;1668;1795;1514;1701;1821;1553
" ";"45-54 let";1442;1513;1370;1465;1501;1429;1540;1590;1489;1567;1648;1490;1598;1687;1516;1608;1728;1497;1657;1794;1526;1690;1843;1543;1739;1901;1580
" ";"55-64 let";1667;1630;1773;1690;1626;1856;1779;1715;1927;1790;1736;1902;1831;1782;1925;1804;1799;1812;1820;1826;1810;1826;1882;1753;1850;1903;1786
" ";"65 let ali veè";3736;4004;2933;3209;3398;2763;3736;4191;z;3598;3309;z;4449;4041;z;3465;3813;z;2854;2876;2781;3012;2829;3528;3088;3137;2913
"Notranjsko-kraška"
" ";"Starost - SKUPAJ";1233;1277;1179;1262;1274;1247;1304;1329;1272;1352;1378;1322;1374;1404;1339;1373;1394;1350;1401;1438;1357;1418;1461;1367;1455;1499;1404
" ";"15-64 let";1232;1275;1178;1261;1271;1247;1302;1327;1272;1351;1376;1322;1372;1401;1339;1371;1391;1348;1399;1434;1356;1416;z;z;1453;z;z
" ";"15-24 let";849;862;815;854;861;834;941;951;904;982;992;939;1027;1040;968;1040;1061;947;1037;1050;967;1045;z;z;1073;z;z
" ";"25-34 let";1092;1132;1030;1108;1125;1080;1150;1172;1116;1185;1202;1158;1200;1220;1165;1185;1204;1150;1219;1250;1160;1247;1286;1169;1269;1308;1191
